Additional_Number_of_Scoring,Average_Score,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Tags
1936,8.7,13,7491,14,1,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
1195,8.3,8,4684,28,9,"[' Leisure trip ', ' Group ', ' Superior Twin Room ', ' Stayed 2 nights ']"
989,8.4,0,4660,8,2,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']"
1299,8.7,6,5394,8,3,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
757,8.7,0,5236,46,8,"[' Leisure trip ', ' Group ', ' Large Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
387,8.1,27,6373,6,2,"[' Leisure trip ', ' Family with young children ', ' Comfort Double or Twin Room ', ' Stayed 4 nights ']"
326,8.8,0,1685,44,1,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ']"
904,8.1,20,16670,23,1,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 1 night ']"
429,8.3,0,1774,3,7,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ']"
120,8,53,1193,65,1,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ']"
128,8.4,8,1472,20,1,"[' Leisure trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
67,9.1,6,454,8,1,"[' Leisure trip ', ' Couple ', ' Standard Room for 1 or 2 people with Kitchenette ', ' Stayed 1 night ']"
228,7.9,10,2515,5,8,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
99,8.8,0,775,24,1,"[' Business trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
666,8.5,17,4559,12,8,"[' Leisure trip ', ' Couple ', ' Premier Room with Balcony ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
374,8,7,3078,3,2,"[' Leisure trip ', ' Family with young children ', ' Deluxe King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
374,8,0,3078,11,4,"[' Leisure trip ', ' Couple ', ' Corner Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
260,9,28,886,25,8,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
207,8.4,5,1958,20,1,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 4 nights ']"
256,9.4,10,1008,19,36,"[' Leisure trip ', ' Couple ', ' Grand Premier King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
694,8.7,6,2332,3,2,"[' With a pet ', ' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
2288,8.1,0,9568,29,1,"[' Leisure trip ', ' Family with young children ', ' Cosy Double Room ', ' Stayed 2 nights ']"
765,8.4,44,4686,3,27,"[' Leisure trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
237,8.5,53,947,20,2,"[' Leisure trip ', ' Couple ', ' Privilege Super King or Twin Room ', ' Stayed 1 night ']"
125,8.6,19,853,24,6,"[' Leisure trip ', ' Couple ', ' Junior Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
228,8.5,10,2279,2,5,"[' Leisure trip ', ' Couple ', ' Comfort Room ', ' Stayed 1 night ']"
541,8,11,2367,8,2,"[' Leisure trip ', ' Couple ', ' Queensgate Double Room ', ' Stayed 4 nights ']"
1005,8.3,30,3469,20,1,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 2 nights ']"
541,7.9,0,6792,25,1,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
474,8.2,17,3568,7,1,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
568,8.6,9,1686,7,7,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
53,8.4,0,556,19,12,"[' Leisure trip ', ' Solo traveler ', ' Comfort Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
732,9.4,14,2200,6,1,"[' Leisure trip ', ' Solo traveler ', ' Premier King Room with City View ', ' Stayed 1 night ']"
832,8.9,6,2924,18,3,"[' Leisure trip ', ' Couple ', ' Superior Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
341,8.2,7,1496,11,3,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
488,8.2,0,4645,17,8,"[' Leisure trip ', ' Couple ', ' Executive Double or Twin Room with Spa Access ', ' Stayed 5 nights ']"
106,8.2,12,1886,6,1,"[' Business trip ', ' Couple ', ' Comfort Double Room ', ' Stayed 2 nights ']"
342,7.6,35,2310,26,4,"[' Leisure trip ', ' Family with young children ', ' Standard Room with 1 Double Bed and 1 Sofa Bed ', ' Stayed 2 nights ']"
1299,8.7,0,5394,12,15,"[' Leisure trip ', ' Family with young children ', ' Classic King Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
341,7.8,19,2501,25,2,"[' Leisure trip ', ' Couple ', ' Standard Room with Queen Bed ', ' Stayed 2 nights ']"
1005,8.3,116,3469,19,1,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
218,7.5,96,1270,14,1,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
954,8.6,14,4426,3,3,"[' Leisure trip ', ' Group ', ' Superior Twin Room ', ' Stayed 3 nights ']"
388,8.4,21,1708,12,2,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
289,8.7,11,1161,5,1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
918,8.4,5,4117,4,11,"[' Business trip ', ' Solo traveler ', ' Small Queen Room ', ' Stayed 1 night ']"
355,8,13,1786,9,5,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
406,8.2,37,2011,11,1,"[' Leisure trip ', ' Couple ', ' Standard Double Twin Room ', ' Stayed 1 night ']"
90,8.4,9,688,7,2,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
341,8.2,8,1496,14,6,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
63,8.5,13,843,4,10,"[' Business trip ', ' Couple ', ' Standard Room with 1 Double Bed and 1 Double Sofa bed ', ' Stayed 6 nights ']"
16,7.8,25,354,48,4,"[' Leisure trip ', ' Family with young children ', ' Special Offer Double Room 3 nights minimum ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
332,8.5,38,2708,28,1,"[' Leisure trip ', ' Group ', ' Wonderful Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
416,8.5,2,5177,4,9,"[' Leisure trip ', ' Couple ', ' Special Offer Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
228,8.2,39,3498,19,8,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 1 night ']"
397,8.3,14,1640,9,1,"[' Family with older children ', ' Deluxe King with Balcony ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
211,8.1,15,2436,8,1,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
710,7.9,137,6511,46,1,"[' Leisure trip ', ' Family with older children ', ' Standard Double or Twin Room ', ' Stayed 5 nights ']"
392,8.5,10,3602,25,17,"[' Leisure trip ', ' Family with young children ', ' Quadruple Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
101,9.4,2,824,10,2,"[' Leisure trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 4 nights ']"
429,7.1,23,3973,14,11,"[' Leisure trip ', ' Family with young children ', ' Regency Suite ', ' Stayed 3 nights ']"
86,8.3,0,984,27,10,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 5 nights ']"
173,9.2,26,1772,63,54,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 3 nights ']"
155,9.4,0,951,6,2,"[' Leisure trip ', ' Family with older children ', ' Superior Double Room ', ' Stayed 2 nights ']"
36,8.3,5,549,0,3,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room 1 Adult ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
329,8.1,9,1813,5,2,"[' Business trip ', ' Solo traveler ', ' Superior Queen Room ', ' Stayed 2 nights ']"
379,8.9,13,3774,12,23,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ']"
355,8,3,1786,2,17,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
417,6.7,35,2400,15,1,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
2623,8.7,52,12158,7,1,"[' Leisure trip ', ' Couple ', ' Superior Twin Room with Internal View ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
843,7.8,8,3801,23,1,"[' Leisure trip ', ' Group ', ' Double Hilton Guestroom ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
125,9.3,0,720,3,17,"[' Leisure trip ', ' Couple ', ' Royal Suite with Canal View ', ' Stayed 3 nights ']"
1427,8.8,0,4305,8,1,"[' Leisure trip ', ' Couple ', ' Deluxe King Room with Stadium View ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
191,8.2,25,1852,16,5,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 4 nights ']"
227,6.9,8,747,0,1,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1322,8.4,17,6117,4,1,"[' Leisure trip ', ' Family with young children ', ' Studio Double Family ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
2682,7.1,86,9086,7,1,"[' Leisure trip ', ' Couple ', ' Standard Double Room without Window ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
252,9.2,23,1834,3,7,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ']"
95,9.1,0,551,13,6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 4 nights ']"
119,8.9,2,394,12,50,"[' Business trip ', ' Solo traveler ', ' Standard Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
317,8.1,11,3887,19,9,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
2623,8.7,0,12158,11,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Internal View ', ' Stayed 1 night ']"
215,8.5,0,1671,11,2,"[' Leisure trip ', ' Family with young children ', ' Comfort Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
71,9.1,19,533,51,15,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
390,7.6,117,4646,0,1,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room with Balcony 1 Adult ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1198,8.5,0,6596,25,2,"[' Leisure trip ', ' Group ', ' Club Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
76,9,0,317,12,15,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
407,7.3,0,3161,7,1,"[' Leisure trip ', ' Couple ', ' Economy Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
87,9.3,17,656,81,3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ']"
100,7.9,0,468,9,1,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1936,8.7,58,7491,63,1,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
342,9,18,2873,10,52,"[' Leisure trip ', ' Couple ', ' Superior King or Twin Room ', ' Stayed 2 nights ']"
694,8.7,57,2332,24,1,"[' Business trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 5 nights ']"
153,9.2,18,835,13,11,"[' Leisure trip ', ' Couple ', ' Premier Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
305,8,0,3565,4,39,"[' Business trip ', ' Group ', ' Double Room ', ' Stayed 3 nights ']"
132,9.3,3,849,16,4,"[' Leisure trip ', ' Family with young children ', ' Junior Suite ', ' Stayed 6 nights ', ' Submitted from a mobile device ']"
26,9.2,0,196,45,3,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 4 nights ']"
137,7.9,73,966,12,5,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
111,8.8,0,807,30,16,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 3 nights ']"
431,7.9,3,1532,0,4,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ']"
401,8.1,16,1500,15,2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
386,8.7,3,1478,6,4,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ']"
299,8.3,8,1361,8,3,"[' Leisure trip ', ' Family with older children ', ' Standard Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
122,7.9,0,1213,12,1,"[' Leisure trip ', ' Solo traveler ', ' Exclusive Guest room 1 King or 2 Twin Single Bed s ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
127,8.2,0,1259,7,3,"[' Business trip ', ' Family with young children ', ' Superior Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
532,8.6,35,4276,42,1,"[' Leisure trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
65,8.8,0,617,13,19,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 4 nights ']"
192,8.4,8,1769,47,10,"[' Leisure trip ', ' Couple ', ' Queen Room Non Smoking ', ' Stayed 3 nights ']"
170,8.5,22,1738,8,5,"[' Leisure trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
187,7.6,5,830,5,1,"[' Couple ', ' One Bedroom Apartment ', ' Stayed 6 nights ']"
207,8.5,8,2601,11,2,"[' Leisure trip ', ' Group ', ' Executive Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
211,8.9,0,1517,15,6,"[' Leisure trip ', ' Group ', ' Executive Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
189,8.5,2,858,6,2,"[' Leisure trip ', ' Group ', ' Superior Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
211,8.9,104,2412,52,1,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
315,9.3,14,2757,55,1,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 1 night ']"
252,9.1,8,1166,11,20,"[' Leisure trip ', ' Couple ', ' Classic King Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
141,7.8,7,2387,0,2,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
687,8.9,0,2752,2,15,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
69,9,2,379,9,52,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
500,9.1,0,2113,76,9,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 3 nights ']"
312,8.2,15,1505,24,1,"[' Leisure trip ', ' Family with young children ', ' Superior King Room with Sofa Bed ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
397,8.3,82,1640,47,1,"[' Leisure trip ', ' Family with young children ', ' Deluxe with Two Double Beds ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
109,8.1,46,926,31,3,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']"
258,7.8,14,2521,17,6,"[' Leisure trip ', ' Couple ', ' Family 2 Connecting Rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1936,8.7,24,7491,18,1,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1444,7.8,19,5726,6,3,"[' Leisure trip ', ' Couple ', ' Standard Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
509,8.4,54,1560,96,1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ']"
853,8.4,0,2726,19,29,"[' Business trip ', ' Solo traveler ', ' Deluxe Queen Room with View ', ' Stayed 1 night ']"
297,8,23,2868,22,1,"[' Leisure trip ', ' Family with young children ', ' Duplex Junior Suite with Spa access ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
500,9.1,0,2113,28,2,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ']"
1322,8.4,18,6117,5,4,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
253,8.2,33,1191,12,15,"[' Business trip ', ' Group ', ' 2 rooms ', ' Stayed 1 night ']"
191,9,8,1329,3,9,"[' Leisure trip ', ' Couple ', ' Prestige Double Room ', ' Stayed 3 nights ']"
488,8.2,16,4645,0,2,"[' Leisure trip ', ' Group ', ' Triple Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']"
309,8.1,37,2270,38,1,"[' Leisure trip ', ' Couple ', ' Executive Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
31,8.7,0,221,94,2,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']"
930,8.9,0,2836,12,4,"[' Leisure trip ', ' Couple ', ' Deluxe King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
199,8.4,11,2692,6,8,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ']"
371,7.3,49,2215,65,6,"[' Leisure trip ', ' Group ', ' Deluxe Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
359,9.3,59,1694,60,2,"[' Leisure trip ', ' Group ', ' Executive Twin Room ', ' Stayed 1 night ']"
169,8.1,34,1787,23,1,"[' Leisure trip ', ' Couple ', ' Studio ', ' Stayed 4 nights ']"
96,9.5,2,314,22,7,"[' Leisure trip ', ' Couple ', ' Suite with Balcony ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
377,8.5,0,1363,48,7,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ']"
1005,8.3,0,3469,24,10,"[' Leisure trip ', ' Couple ', ' 2 rooms ', ' Stayed 1 night ']"
297,8.3,0,2027,16,1,"[' Leisure trip ', ' Group ', ' Junior Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
418,8.6,5,1572,4,11,"[' Leisure trip ', ' Family with older children ', ' Twin Room ', ' Stayed 1 night ']"
